"4,""1573067560"",""Mon Apr 20 23:35:30 PDT 2009"",""NO_QUERY"",""twanalyst"",""@knitkat hey, don't beat me up - behind the wizard's curtain is a gentle old man """;;;;;;;;;
"4,""1573067586"",""Mon Apr 20 23:35:30 PDT 2009"",""NO_QUERY"",""markjardine"",""@bradhaydon Thanks. """;;;;;;;;;
"4,""1573067609"",""Mon Apr 20 23:35:31 PDT 2009"",""NO_QUERY"",""samanthaswalker"",""don't know why i'm still awake. there's no way i'm catching up on zzz's this week. chicago wednesday! """;;;;;;;;;
"4,""1573067741"",""Mon Apr 20 23:35:32 PDT 2009"",""NO_QUERY"",""Shaun_R"",""Oh and the other Yr12 kid who also happened to be in the library too started downloading PortableApps when he found out he could run FF!! """;;;;;;;;;
"4,""1573067821"",""Mon Apr 20 23:35:34 PDT 2009"",""NO_QUERY"",""chiniehdiaz"",""@flimgeeks Same here! Next week will be the start of a whole different ball game. In the meantime, am happy to re-watch this week's ep """;;;;;;;;;
"4,""1573067827"",""Mon Apr 20 23:35:34 PDT 2009"",""NO_QUERY"",""fangsy101"",""@SpiderxBear next, i get a 4 day weekend """;;;;;;;;;
"4,""1573067936"",""Mon Apr 20 23:35:35 PDT 2009"",""NO_QUERY"",""Gaby2812"",""a dormir!! Good night everyone!! """;;;;;;;;;
"4,""1573068018"",""Mon Apr 20 23:35:36 PDT 2009"",""NO_QUERY"",""LTDtweets"",""Walk was PERFECT!!!  I highly recommend walking for Everyone";;;;;;;;;
"4,""1573068068"",""Mon Apr 20 23:35:37 PDT 2009"",""NO_QUERY"",""ExotikGoddess"",""Re-pinging @evettevictoria: see she did win...cocktail  go mexicans! lol...-PUMPED...I am too followin u retard"""; It's Magical!!!  ;"-)  Alright...I'll Stop...    Goodnight All!!!!  :LTD)(""";;;;;;;
"4,""1573068096"",""Mon Apr 20 23:35:37 PDT 2009"",""NO_QUERY"",""clarashin"",""@zontiago yup, I did... it's awesome!! """;;;;;;;;;
"4,""1573068114"",""Mon Apr 20 23:35:37 PDT 2009"",""NO_QUERY"",""DanyelleTauryce"",""@bmariestyle lol since u brought it up... I mean it really did look like an ambi commercial """;;;;;;;;;
"4,""1573068173"",""Mon Apr 20 23:35:38 PDT 2009"",""NO_QUERY"",""mcnl"",""Now on work going to study and stuff """;;;;;;;;;
"4,""1573068175"",""Mon Apr 20 23:35:38 PDT 2009"",""NO_QUERY"",""petik3"",""@rpatzhood great remix  ? http://blip.fm/~4oku9""";;;;;;;;;
"4,""1573068233"",""Mon Apr 20 23:35:39 PDT 2009"",""NO_QUERY"",""upwardaction"",""@creolesugar i can always write more.   which lesson R U referring 2?  i'll elaborate on the www.inspirebyaction.com blog.""";;;;;;;;;
"4,""1573068344"",""Mon Apr 20 23:35:40 PDT 2009"",""NO_QUERY"",""bnolan"",""Oh dear - someone is trying to defraud us. Dramas we don't need at the moment. """;;;;;;;;;
"4,""1573068380"",""Mon Apr 20 23:35:41 PDT 2009"",""NO_QUERY"",""Stephanieeexox"",""@jeffreecuntstar uggh its already late and i have an exam tomorrow! but ill stay up a few extra mins cuz im interested to hear it  haha""";;;;;;;;;
"4,""1573068429"",""Mon Apr 20 23:35:42 PDT 2009"",""NO_QUERY"",""estherjulee"",""Wake up call at 7 please! """;;;;;;;;;
"4,""1573068465"",""Mon Apr 20 23:35:42 PDT 2009"",""NO_QUERY"",""Stu_D0gg"",""@MsCityCouture heyyyyyyyyyyyyyyyyyyyy  lol""";;;;;;;;;
